zone,woreda,epi_year,epi_week,popul_tot,tot_case,mal_case,mal_inc,conf_inc,pfm_inc,pv_inc,mal_prop,conf_prop,pfm_prop,pv_prop,pos_rate,pfm_pos_rate,pv_pos_rate,tmpa_obs,tmpa_anom,gpm_obs,gpm_anom,lstd_obs,lstd_anom,ndvi_obs,ndvi_anom,evi_obs,evi_anom,savi_obs,savi_anom,ndwi5_obs,ndwi5_anom,ndwi6_obs,ndwi6_anom
West Gojjam,Jabi Tehnan,2016,37,218988.8793,2744,198,0.90415550200000006,0.90415550200000006,0.511441496,0.392714006,0.072157434,0.072157434,0.040816326,0.031341107,0.249684741,0.141235813,0.108448928,26.85840946,-15.02700345,28.99098468,-11.84275871,25.39192332,0.507270517,0.736184741,0.005956255,0.488591628,-0.01708257,0.485945852,-0.007868467,0.035280423,-0.012493131,0.262494588,-0.016964216
West Gojjam,Jabi Tehnan,2016,38,218988.8793,3160,254,1.15987625,1.15987625,0.739763592,0.420112657,0.080379746,0.080379746,0.051265822,0.029113924,0.246841593,0.157434402,0.089407191,99.37518901,59.26909821,37.13373304,-2.848653725,25.64714641,0.466396339,0.731139832,-3.94517e-4,0.480599594,-0.014271154,0.474866286,-0.011534365,0.03017215,-0.015460561,0.253184093,-0.027481733
West Gojjam,Jabi Tehnan,2016,39,218988.8793,3291,297,1.356233252,1.356233252,0.858491082,0.49774217,0.090246125,0.090246125,0.057125493,0.033120632,0.310344827,0.19644723,0.113897596,41.60712286,-2.977237646,22.38985058,-24.20090344,25.9408427,0.399351056,0.722800008,-0.002691307,0.468506547,-0.013534596,0.464378621,-0.011737281,0.024509174,-0.016716492,0.248721485,-0.028245462
West Gojjam,Jabi Tehnan,2016,40,218988.8793,3647,128,0.584504567,0.584504567,0.388147564,0.196357003,0.03509734,0.03509734,0.023306827,0.011790512,0.197836166,0.131375579,0.066460587,41.64313412,-5.952104248,0.831025041,-51.07312766,26.32486685,0.127297316,0.70865077,-0.006357136,0.452351103,-0.014531912,0.449836162,-0.013165141,0.015142729,-0.018695553,0.237070094,-0.029522563
West Gojjam,Jabi Tehnan,2016,41,218988.8793,3462,401,1.831143213,1.831143213,1.118778272,0.712364941,0.115829,0.115829,0.070768341,0.045060658,0.286428571,0.175,0.111428571,33.21682659,-14.08203462,15.44426525,-31.54744837,26.65938219,-0.050051604,0.688078459,-0.006916182,0.427000906,-0.015176336,0.429406833,-0.012933712,0.007706433,-0.014092573,0.218460788,-0.024256105
West Gojjam,Jabi Tehnan,2016,42,218988.8793,4172,461,2.105129729,2.105129729,1.433862765,0.671266963,0.110498561,0.110498561,0.075263662,0.035234899,0.29251269,0.199238578,0.093274111,101.5208937,47.87752067,26.42038661,-23.68838159,26.75629305,-0.831639083,0.664022137,-0.003523972,0.396877766,-0.014280279,0.403796121,-0.012105283,-0.002543977,-0.009691818,0.194125696,-0.020435548
West Gojjam,Jabi Tehnan,2016,43,218988.8793,3656,446,2.0366331,2.0366331,1.283170182,0.753462918,0.121991247,0.121991247,0.076859956,0.045131291,0.321325648,0.202449567,0.11887608,76.56326248,39.10874913,11.62147977,-24.56432953,28.1833968,0.121879775,0.641896004,0.003217961,0.374650019,-0.009134427,0.384291931,-0.007456004,-0.014967849,-0.007875572,0.170027941,-0.015032762
West Gojjam,Jabi Tehnan,2016,44,218988.8793,3798,444,2.027500216,2.027500216,1.15987625,0.867623966,0.116903633,0.116903633,0.066877303,0.050026329,0.281368821,0.160963244,0.120405576,12.72382613,-24.89713648,5.17629e-5,-28.58984423,31.21592381,2.459087728,0.607455401,0.001935134,0.348522318,-0.005631501,0.359725709,-0.005251985,-0.027853274,-0.005592126,0.140000575,-0.01088891
West Gojjam,Jabi Tehnan,2016,45,218988.8793,4056,479,2.187325683,2.187325683,1.200974227,0.986351456,0.118096646,0.118096646,0.064842209,0.053254437,0.309032258,0.169677419,0.139354838,91.362587,67.90721817,2.035985839,-15.74474222,30.91455322,1.373903991,0.558598787,-0.019464122,0.316317782,-0.014833172,0.32715132,-0.016838656,-0.043893647,-0.009006392,0.102439768,-0.021881715
West Gojjam,Jabi Tehnan,2016,46,218988.8793,4497,476,2.173626357,2.173626357,1.406464114,0.767162244,0.105848343,0.105848343,0.068490104,0.037358238,0.302414231,0.195679796,0.106734434,24.79623639,3.819731288,1.039460054,-18.99992133,32.07469287,2.34639082,0.51963992,-0.032395303,0.290969021,-0.019773815,0.30664439,-0.018417997,-0.058073933,-0.012077822,0.072239189,-0.026185034
