WID,woreda_name,environ_var_code,obs_date,obs_value
121,Abargelie,ndwi6,2016-09-17,0.06560915167973008
121,Abargelie,ndwi6,2016-09-18,0.06934281204465115
121,Abargelie,ndwi6,2016-09-19,0.06111766272499608
121,Abargelie,ndwi6,2016-09-20,0.06091460283270596
121,Abargelie,ndwi6,2016-09-21,0.050620809224364245
121,Abargelie,ndwi6,2016-09-22,0.050579841310878546
121,Abargelie,ndwi6,2016-09-23,0.03838819432436016
121,Abargelie,ndwi6,2016-09-24,0.034100352580077105
121,Abargelie,ndwi6,2016-09-25,0.03392344765505575
121,Abargelie,ndwi6,2016-09-26,0.030565735703211902
121,Abargelie,ndwi6,2016-09-27,0.03109033297310615
121,Abargelie,ndwi6,2016-09-28,0.02180136001042983
121,Abargelie,ndwi6,2016-09-29,0.021920379974334006
121,Abargelie,ndwi6,2016-09-30,0.01314324527239679
121,Abargelie,ndwi6,2016-10-01,0.015094116147830504
121,Abargelie,ndwi6,2016-10-02,0.013178279528494366
121,Abargelie,ndwi6,2016-10-03,0.012715433111879395
121,Abargelie,ndwi6,2016-10-04,0.013809799476597323
121,Abargelie,ndwi6,2016-10-05,0.010168691479646967
121,Abargelie,ndwi6,2016-10-06,0.009904396413077023
121,Abargelie,ndwi6,2016-10-07,-6.734029941150402e-5
121,Abargelie,ndwi6,2016-10-08,0.0020922901843052934
121,Abargelie,ndwi6,2016-10-09,-0.006687331821748743
121,Abargelie,ndwi6,2016-10-10,-0.0057188363861754
121,Abargelie,ndwi6,2016-10-11,-0.006813252547628084
121,Abargelie,ndwi6,2016-10-12,-0.01080977061113872
121,Abargelie,ndwi6,2016-10-13,-0.007871988143214149
121,Abargelie,ndwi6,2016-10-14,-0.01416022190529448
121,Abargelie,ndwi6,2016-10-15,-0.013778772487875126
121,Abargelie,ndwi6,2016-10-16,-0.01863867288771775
121,Abargelie,ndwi6,2016-10-17,-0.017668352611290947
121,Abargelie,ndwi6,2016-10-18,-0.02123863569872351
121,Abargelie,ndwi6,2016-10-19,-0.0220071944666055
121,Abargelie,ndwi6,2016-10-20,-0.02122026390462293
121,Abargelie,ndwi6,2016-10-21,-0.02439207103028947
121,Abargelie,ndwi6,2016-10-22,-0.023429521724449762
121,Abargelie,ndwi6,2016-10-23,-0.029638340805539037
121,Abargelie,ndwi6,2016-10-24,-0.028435933350134043
121,Abargelie,ndwi6,2016-10-25,-0.032474390421666555
121,Abargelie,ndwi6,2016-10-26,-0.031906742815334906
121,Abargelie,ndwi6,2016-10-27,-0.0333481709121091
121,Abargelie,ndwi6,2016-10-28,-0.03439928928845855
121,Abargelie,ndwi6,2016-10-29,-0.03349848324301027
121,Abargelie,ndwi6,2016-10-30,-0.038003781191683024
121,Abargelie,ndwi6,2016-10-31,-0.03752072532805596
121,Abargelie,ndwi6,2016-11-01,-0.039693866929974425
121,Abargelie,ndwi6,2016-11-02,-0.038962498736418626
121,Abargelie,ndwi6,2016-11-03,-0.03989662968281748
121,Abargelie,ndwi6,2016-11-04,-0.0405039490672888
121,Abargelie,ndwi6,2016-11-05,-0.040624773342601034
121,Abargelie,ndwi6,2016-11-06,-0.04410430275996602
121,Abargelie,ndwi6,2016-11-07,-0.04185527390478348
121,Abargelie,ndwi6,2016-11-08,-0.04483006002601343
121,Abargelie,ndwi6,2016-11-09,-0.04371248347170652
121,Abargelie,ndwi6,2016-11-10,-0.044963144179436317
121,Abargelie,ndwi6,2016-11-11,-0.045675028010111446
121,Abargelie,ndwi6,2016-11-12,-0.04495997830137944
121,Abargelie,ndwi6,2016-11-13,-0.0474446064355773
121,Abargelie,ndwi6,2016-11-14,-0.046487760207706334
121,Abargelie,ndwi6,2016-11-15,-0.04854082309422485
121,Abargelie,ndwi6,2016-11-16,-0.04766503710905764
121,Abargelie,ndwi6,2016-11-17,-0.05203373317496555
121,Abargelie,ndwi6,2016-11-18,-0.05162890818173513
121,Abargelie,ndwi6,2016-11-19,-0.052181602477693816
121,Abargelie,ndwi6,2016-11-20,-0.052512244395228745
121,Abargelie,ndwi6,2016-11-21,-0.051606484410987946
121,Abargelie,ndwi6,2016-11-22,-0.053218188501620654
121,Abargelie,ndwi6,2016-11-23,-0.05266514417026048
121,Abargelie,ndwi6,2016-11-24,-0.0545183534714398
121,Abargelie,ndwi6,2016-11-25,-0.053715024902046035
121,Abargelie,ndwi6,2016-11-26,-0.05500898080047192
121,Abargelie,ndwi6,2016-11-27,-0.05533115090385964
121,Abargelie,ndwi6,2016-11-28,-0.05576552292927237
121,Abargelie,ndwi6,2016-11-29,-0.05726962407511769
121,Abargelie,ndwi6,2016-11-30,-0.05629905566372454
121,Abargelie,ndwi6,2016-12-01,-0.05861038263968278
121,Abargelie,ndwi6,2016-12-02,-0.05698787594190674
121,Abargelie,ndwi6,2016-12-03,-0.058396278144114334
121,Abargelie,ndwi6,2016-12-04,-0.05766760203476931
121,Abargelie,ndwi6,2016-12-05,-0.05870466801078617
121,Abargelie,ndwi6,2016-12-06,-0.05942610941037263
121,Abargelie,ndwi6,2016-12-07,-0.05881713643368587
121,Abargelie,ndwi6,2016-12-08,-0.06098411053344113
121,Abargelie,ndwi6,2016-12-09,-0.0602372756502666
121,Abargelie,ndwi6,2016-12-10,-0.06157089293357188
121,Abargelie,ndwi6,2016-12-11,-0.060570365802742165
121,Abargelie,ndwi6,2016-12-12,-0.06212617851964177
121,Abargelie,ndwi6,2016-12-13,-0.06159501789456045
121,Abargelie,ndwi6,2016-12-14,-0.06036295551012782
121,Abargelie,ndwi6,2016-12-15,-0.0609147557992617
121,Abargelie,ndwi6,2016-12-16,-0.060348213494418775
121,Abargelie,ndwi6,2016-12-17,-0.06280190086367803
121,Abargelie,ndwi6,2016-12-18,-0.06095907298019045
121,Abargelie,ndwi6,2016-12-19,-0.06313256934437114
121,Abargelie,ndwi6,2016-12-20,-0.062398791706969166
121,Abargelie,ndwi6,2016-12-21,-0.06333578171326655
121,Abargelie,ndwi6,2016-12-22,-0.06452332348660146
121,Abargelie,ndwi6,2016-12-23,-0.06460230252624717
121,Abargelie,ndwi6,2016-12-24,-0.0665328678385325
121,Abargelie,ndwi6,2016-12-25,-0.06524021871773106
121,Abargelie,ndwi6,2016-12-26,-0.06844891210150339
121,Abargelie,ndwi6,2016-12-27,-0.06725346477503023
121,Abargelie,ndwi6,2016-12-28,-0.06934077453443663
121,Abargelie,ndwi6,2016-12-29,-0.06928034143733404
121,Abargelie,ndwi6,2016-12-30,-0.07096074250948857
121,Abargelie,ndwi6,2016-12-31,-0.07289094071868928
121,Abargelie,ndwi6,2017-01-01,-0.07132258860224586
121,Abargelie,ndwi6,2017-01-02,-0.07435632756425614
121,Abargelie,ndwi6,2017-01-03,-0.07269404986344481
121,Abargelie,ndwi6,2017-01-04,-0.07580353020962408
121,Abargelie,ndwi6,2017-01-05,-0.07452386390790795
121,Abargelie,ndwi6,2017-01-06,-0.07569230155802799
121,Abargelie,ndwi6,2017-01-07,-0.07578064558334112
121,Abargelie,ndwi6,2017-01-08,-0.07461719923870375
121,Abargelie,ndwi6,2017-01-09,-0.0771655436648025
121,Abargelie,ndwi6,2017-01-10,-0.07530886510588299
121,Abargelie,ndwi6,2017-01-11,-0.07833285558298386
121,Abargelie,ndwi6,2017-01-12,-0.0769273611254593
121,Abargelie,ndwi6,2017-01-13,-0.0774786716994041
121,Abargelie,ndwi6,2017-01-14,-0.07589265771727895
121,Abargelie,ndwi6,2017-01-15,-0.07541143206673609
121,Abargelie,ndwi6,2017-01-16,-0.07622953384545049
121,Abargelie,ndwi6,2017-01-17,-0.07565951214545658
121,Abargelie,ndwi6,2017-01-18,-0.07700240555934659
121,Abargelie,ndwi6,2017-01-19,-0.07549852556175204
121,Abargelie,ndwi6,2017-01-20,-0.0757528110025096
121,Abargelie,ndwi6,2017-01-21,-0.07573085235420766
121,Abargelie,ndwi6,2017-01-22,-0.07531213215350231
121,Abargelie,ndwi6,2017-01-23,-0.07559816114370947
121,Abargelie,ndwi6,2017-01-24,-0.07535142823831217
121,Abargelie,ndwi6,2017-01-25,-0.07553914314622735
121,Abargelie,ndwi6,2017-01-26,-0.07524324838450078
121,Abargelie,ndwi6,2017-01-27,-0.07555541125470078
121,Abargelie,ndwi6,2017-01-28,-0.07554364541178027
121,Abargelie,ndwi6,2017-01-29,-0.07514787013563196
121,Abargelie,ndwi6,2017-01-30,-0.07594275978379508
121,Abargelie,ndwi6,2017-01-31,-0.07494933117168562
121,Abargelie,ndwi6,2017-02-01,-0.07557762005235058
121,Abargelie,ndwi6,2017-02-02,-0.07530043946626688
121,Abargelie,ndwi6,2017-02-03,-0.07554039677734574
121,Abargelie,ndwi6,2017-02-04,-0.07547344902636054
121,Abargelie,ndwi6,2017-02-05,-0.07631676792450547
121,Abargelie,ndwi6,2017-02-06,-0.07607029225199367
121,Abargelie,ndwi6,2017-02-07,-0.07643718391726699
121,Abargelie,ndwi6,2017-02-08,-0.07658432164271717
121,Abargelie,ndwi6,2017-02-09,-0.07689526342851924
121,Abargelie,ndwi6,2017-02-10,-0.07793098368966611
121,Abargelie,ndwi6,2017-02-11,-0.0797256102688104
121,Abargelie,ndwi6,2017-02-12,-0.08202391051583152
121,Abargelie,ndwi6,2017-02-13,-0.08058073749330714
121,Abargelie,ndwi6,2017-02-14,-0.08452898803179357
121,Abargelie,ndwi6,2017-02-15,-0.08432513894794162
121,Abargelie,ndwi6,2017-02-16,-0.08661335319147555
121,Abargelie,ndwi6,2017-02-17,-0.0862742096831232
121,Abargelie,ndwi6,2017-02-18,-0.08649915165212452
121,Abargelie,ndwi6,2017-02-19,-0.0892825064812048
121,Abargelie,ndwi6,2017-02-20,-0.0899703176803778
121,Abargelie,ndwi6,2017-02-21,-0.09090772225753818
121,Abargelie,ndwi6,2017-02-22,-0.09096014706651499
121,Abargelie,ndwi6,2017-02-23,-0.08961325457083308
121,Abargelie,ndwi6,2017-02-24,-0.0900837536965423
121,Abargelie,ndwi6,2017-02-25,-0.08968803122915137
121,Abargelie,ndwi6,2017-02-26,-0.08858554043112393
121,Abargelie,ndwi6,2017-02-27,-0.08939866527922233
121,Abargelie,ndwi6,2017-02-28,-0.09006884695422299
121,Abargelie,ndwi6,2017-03-01,-0.09076843656985717
121,Abargelie,ndwi6,2017-03-02,-0.08849764497927957
121,Abargelie,ndwi6,2017-03-03,-0.08862083397359984
121,Abargelie,ndwi6,2017-03-04,-0.08850008198454253
121,Abargelie,ndwi6,2017-03-05,-0.08869707711303722
121,Abargelie,ndwi6,2017-03-06,-0.08862304936239965
121,Abargelie,ndwi6,2017-03-07,-0.08588553422089903
121,Abargelie,ndwi6,2017-03-08,-0.08601976749512268
121,Abargelie,ndwi6,2017-03-09,-0.08607061459448417
121,Abargelie,ndwi6,2017-03-10,-0.08619553805444684
121,Abargelie,ndwi6,2017-03-11,-0.086234815842774
121,Abargelie,ndwi6,2017-03-12,-0.08679448659421876
121,Abargelie,ndwi6,2017-03-13,-0.08676286849883917
121,Abargelie,ndwi6,2017-03-14,-0.08633708140299687
121,Abargelie,ndwi6,2017-03-15,-0.08659381263776816
121,Abargelie,ndwi6,2017-03-16,-0.08609603324787203
121,Abargelie,ndwi6,2017-03-17,-0.08656116695572444
121,Abargelie,ndwi6,2017-03-18,-0.08622377638991435
121,Abargelie,ndwi6,2017-03-19,-0.08607084619716844
121,Abargelie,ndwi6,2017-03-20,-0.08489691891688847
121,Abargelie,ndwi6,2017-03-21,-0.08542000483692247
121,Abargelie,ndwi6,2017-03-22,-0.08481768292944851
121,Abargelie,ndwi6,2017-03-23,-0.08436339715829536
121,Abargelie,ndwi6,2017-03-24,-0.08333584972552145
121,Abargelie,ndwi6,2017-03-25,-0.08690815333909183
121,Abargelie,ndwi6,2017-03-26,-0.08672442015340726
121,Abargelie,ndwi6,2017-03-27,-0.08817403005988948
121,Abargelie,ndwi6,2017-03-28,-0.08851319688083967
121,Abargelie,ndwi6,2017-03-29,-0.08845995297780246
