woreda,zone,epi_year,epi_week,popul_tot,popul_malar,mal_inp,mal_outp,rdt_done,rdt_pf_tot,rdt_pv_only,bf_done,bf_pf_tot,bf_pv_only
Abargelie,Waghimira,2015,49,50561.98086,50561.98086,0,50,87,29,10,50,11,0
Abargelie,Waghimira,2015,50,50561.98086,50561.98086,0,33,62,21,1,44,10,1
Abargelie,Waghimira,2015,51,50561.98086,50561.98086,0,38,53,14,8,65,16,0
Abargelie,Waghimira,2015,52,50561.98086,50561.98086,0,35,43,26,3,27,6,0
Abargelie,Waghimira,2015,53,50561.98086,50561.98086,0,36,62,21,5,32,10,0
Abargelie,Waghimira,2016,1,50561.98086,50561.98086,0,25,36,13,1,21,11,0
Abargelie,Waghimira,2016,2,50561.98086,50561.98086,0,20,43,11,3,36,6,0
Abargelie,Waghimira,2016,3,50561.98086,50561.98086,0,38,61,28,3,27,7,0
Abargelie,Waghimira,2016,4,50561.98086,50561.98086,0,26,45,8,6,39,12,0
Abargelie,Waghimira,2016,5,50561.98086,50561.98086,0,23,48,11,3,30,9,0
Abargelie,Waghimira,2016,6,50561.98086,50561.98086,0,32,94,22,3,33,7,0
Abargelie,Waghimira,2016,7,50561.98086,50561.98086,0,28,40,19,3,63,4,2
Abargelie,Waghimira,2016,8,50561.98086,50561.98086,0,25,57,15,7,35,3,0
Abargelie,Waghimira,2016,9,50561.98086,50561.98086,0,23,51,15,3,31,4,1
Abargelie,Waghimira,2016,10,50561.98086,50561.98086,0,28,65,19,1,54,8,0
Abargelie,Waghimira,2016,11,50561.98086,50561.98086,0,34,80,23,6,62,5,0
Abargelie,Waghimira,2016,12,50561.98086,50561.98086,0,42,116,32,6,82,4,0
Abargelie,Waghimira,2016,13,50561.98086,50561.98086,0,16,29,7,3,84,6,0
Abargelie,Waghimira,2016,14,50561.98086,50561.98086,0,10,41,8,0,53,2,0
Abargelie,Waghimira,2016,15,50561.98086,50561.98086,0,12,46,9,1,46,2,0
Abargelie,Waghimira,2016,16,50561.98086,50561.98086,0,24,34,0,4,24,10,10
Abargelie,Waghimira,2016,17,50561.98086,50561.98086,0,5,25,3,0,22,2,0
Abargelie,Waghimira,2016,18,50561.98086,50561.98086,0,2,12,2,0,23,0,0
Abargelie,Waghimira,2016,19,50561.98086,50561.98086,0,13,27,8,0,39,5,0
Abargelie,Waghimira,2016,20,50561.98086,50561.98086,0,16,26,8,6,68,2,0
Abargelie,Waghimira,2016,21,50561.98086,50561.98086,0,19,61,16,2,42,1,0
Abargelie,Waghimira,2016,22,50561.98086,50561.98086,0,10,30,8,0,39,2,0
Abargelie,Waghimira,2016,23,50561.98086,50561.98086,0,21,43,4,6,16,11,0
Abargelie,Waghimira,2016,24,50561.98086,50561.98086,0,30,56,24,1,28,5,0
Abargelie,Waghimira,2016,25,50561.98086,50561.98086,0,42,67,26,6,22,9,1
Abargelie,Waghimira,2016,26,50561.98086,50561.98086,0,18,51,10,4,22,3,1
Abargelie,Waghimira,2016,27,50561.98086,50561.98086,0,31,35,9,4,39,18,0
Abargelie,Waghimira,2016,28,51472.09652,51472.09652,0,78,69,43,3,53,30,2
Abargelie,Waghimira,2016,29,51472.09652,51472.09652,0,84,97,40,25,41,19,0
Abargelie,Waghimira,2016,30,51472.09652,51472.09652,0,41,50,17,2,108,21,1
Abargelie,Waghimira,2016,31,51472.09652,51472.09652,0,33,51,10,4,126,18,1
Abargelie,Waghimira,2016,32,51472.09652,51472.09652,0,46,93,25,8,99,11,2
Abargelie,Waghimira,2016,33,51472.09652,51472.09652,0,56,100,42,3,111,11,0
Abargelie,Waghimira,2016,34,51472.09652,51472.09652,0,32,73,23,5,66,4,0
